loglik_mean,num_edge,n_p,n,p,model
35.10764313998489,4395.4,100_100,100,100,DC
35.10776183575154,4442.6,100_100,100,100,DC
35.10638288573366,4490.4,100_100,100,100,DC
35.106938465950435,4537.2,100_100,100,100,DC
35.10655850438846,4585.2,100_100,100,100,DC
35.10790505921719,4628.2,100_100,100,100,DC
35.106986748964964,4670,100_100,100,100,DC
35.1055184041903,4710.8,100_100,100,100,DC
35.1041112711292,4748.2,100_100,100,100,DC
35.10477514923003,4784.4,100_100,100,100,DC
35.10356695525933,4816.6,100_100,100,100,DC
35.10201481757297,4843.2,100_100,100,100,DC
35.41018946070525,1,200_100,200,100,DC
35.78422449157452,50,200_100,200,100,DC
35.76800767661176,100,200_100,200,100,DC
35.72626476352529,150,200_100,200,100,DC
35.707830848892215,200,200_100,200,100,DC
35.67883085924255,250,200_100,200,100,DC
35.639568496453336,300,200_100,200,100,DC
35.651003762980025,350,200_100,200,100,DC
35.652772928543335,400,200_100,200,100,DC
35.65445650450654,450,200_100,200,100,DC
35.63567964919616,500,200_100,200,100,DC
35.6008106766106,550,200_100,200,100,DC
35.58648771780256,600,200_100,200,100,DC
35.552181993040975,650,200_100,200,100,DC
35.5281792207397,700,200_100,200,100,DC
35.522211353241744,750,200_100,200,100,DC
35.51003082812095,800,200_100,200,100,DC
35.487008264266954,850,200_100,200,100,DC
35.489765705690104,900,200_100,200,100,DC
35.480037658146074,950,200_100,200,100,DC
35.466646681230245,1000,200_100,200,100,DC
35.45931937097654,1050,200_100,200,100,DC
35.42690868677014,1100,200_100,200,100,DC
35.437612341463414,1150,200_100,200,100,DC
35.42652665036464,1200,200_100,200,100,DC
35.404756748452044,1250,200_100,200,100,DC
35.401082445119016,1300,200_100,200,100,DC
35.40354923768907,1350,200_100,200,100,DC
35.41092507520174,1400,200_100,200,100,DC
35.38823128507878,1450,200_100,200,100,DC
35.39964012638345,1500,200_100,200,100,DC
35.38194280840841,1550,200_100,200,100,DC
35.37443244744223,1600,200_100,200,100,DC
35.37886065045282,1650,200_100,200,100,DC
35.368116564508185,1700,200_100,200,100,DC
35.384688239979056,1750,200_100,200,100,DC
35.39121653862352,1800,200_100,200,100,DC
35.36468651400678,1850,200_100,200,100,DC
35.370979903087814,1900,200_100,200,100,DC
35.36084199285221,1950,200_100,200,100,DC
35.33564347662449,2000,200_100,200,100,DC
35.33671318917296,2050,200_100,200,100,DC
35.331958232408965,2100,200_100,200,100,DC
35.316679181118076,2150,200_100,200,100,DC
35.31026935933524,2200,200_100,200,100,DC
35.30792874472233,2250,200_100,200,100,DC
35.306713057145636,2300,200_100,200,100,DC
35.30236610084755,2350,200_100,200,100,DC
