p,n,DC,glasso,SCAD,adapt,n_p
100,200,0.028999999980442226,0.008000000030733645,0.005000000004656613,0.003000000026077032,200_100
100,200,0.028000000049360096,0.008000000030733645,0.005000000004656613,0.001999999978579581,200_100
100,200,0.027999999932944775,0.008000000030733645,0.005000000004656613,0.001999999978579581,200_100
100,200,0.028000000049360096,0.006999999983236194,0.005000000004656613,0.001999999978579581,200_100
100,200,0.028999999980442226,0.0070000000996515155,0.005999999935738742,0.001999999978579581,200_100
100,200,0.027999999932944775,0.006999999983236194,0.005000000004656613,0.0020000000949949026,200_100
100,200,0.027999999932944775,0.008000000030733645,0.005999999935738742,0.0020000000949949026,200_100
100,200,0.027000000001862645,0.006999999983236194,0.005000000004656613,0.001999999978579581,200_100
142,200,0.08200000005308539,0.018999999971129,0.013999999966472387,0.006000000052154064,200_142
142,200,0.05599999998230487,0.013999999966472387,0.011999999987892807,0.005000000004656613,200_142
142,200,0.05599999998230487,0.01400000008288771,0.013999999966472387,0.005999999935738742,200_142
142,200,0.07199999992735684,0.02099999994970858,0.01699999999254942,0.03100000007543713,200_142
142,200,0.07299999997485429,0.01600000006146729,0.012999999918974936,0.005000000004656613,200_142
142,200,0.06799999997019768,0.02099999994970858,0.013000000035390258,0.005000000004656613,200_142
142,200,0.07099999999627471,0.01699999999254942,0.013999999966472387,0.005000000004656613,200_142
142,200,0.07999999995809048,0.015000000013969839,0.011999999987892807,0.005000000004656613,200_142
142,200,0.05099999997764826,0.01400000008288771,0.010000000009313226,0.004999999888241291,200_142
142,200,0.25,0.015000000013969839,0.011999999987892807,0.005000000004656613,200_142
200,200,0.17099999997299165,0.04099999996833503,0.03200000000651926,0.02099999994970858,200_200
200,200,0.17299999995157123,0.042000000015832484,0.03399999998509884,0.011999999987892807,200_200
200,200,0.17600000009406358,0.05599999998230487,0.03500000003259629,0.011999999987892807,200_200
200,200,0.14000000001396984,0.0400000000372529,0.030999999959021807,0.011999999987892807,200_200
