n_p,K,num_estimated_mean,num_estimated_std
25_50,383,513.8,57.0512050705329
25_50,394,517.6,54.79744519592131
25_50,406,523.8,53.84923397783853
25_50,418,528.6,52.52675508728861
25_50,430,535.2,51.73238830751969
25_50,442,537.6,48.327631847629355
25_50,454,544.6,47.18961750215825
25_50,466,549.2,45.81855519328386
25_50,477,554.6,42.80490626084818
25_50,489,558.8,39.74594318921115
25_50,501,567.8,38.49077811632288
25_50,513,575.4,36.26375601065063
25_50,525,583,34.15406271587613
25_50,537,592.6,33.23341691731381
25_50,549,599.4,30.050956723538768
25_50,560,607.8,29.968983966761364
25_50,572,615.4,27.872208380392106
25_50,584,623,25.17339865810733
25_50,596,632.2,23.23445717033217
25_50,608,640.8,22.643762938169086
25_50,620,650.6,21.339165869358624
25_50,632,659,19.21457779916072
25_50,643,668.4,18.52727718797341
25_50,655,679.2,17.63349086256037
25_50,667,688.4,15.46803154897222
25_50,679,698.4,14.228843944607727
25_50,691,709.2,13.716413525408162
25_50,703,720.2,12.535549449465707
25_50,715,730.4,11.948221624995078
25_50,726,741.2,11.697863052711806
25_50,738,752.8,11.564601160437828
25_50,750,763.2,10.617909398747004
25_50,762,773.2,9.074139077620531
25_50,774,783.8,8.126499861564016
25_50,786,795,7.784600182411426
25_50,798,805.2,6.208059278067501
25_50,809,815.8,6.053098380168621
25_50,821,827.6,5.608921464952062
25_50,833,838.2,4.211887937730538
25_50,845,849.8,4.054626986542659
25_50,857,859.6,1.8601075237738274
25_50,869,870.8,1.3190905958272916
25_50,881,883,1.51657508881031
25_50,892,894,1.51657508881031
25_50,904,905.2,1.1999999999999997
25_50,916,917,1
25_50,928,929,1
25_50,940,940.8,0.8
25_50,952,952.6,0.5999999999999999
25_50,964,964.4,0.4
25_50,975,975.4,0.4
25_50,987,986.8,0.20000000000000004
25_50,999,998.8,0.20000000000000004
25_50,1011,1010.6,0.4
25_50,1023,1022.6,0.4
25_50,1035,1034.4,0.6
25_50,1047,1046.4,0.6
25_50,1058,1057.2,0.8
25_50,1070,1069,0.7745966692414833
25_50,1082,1080,1.51657508881031
25_50,1094,1091.2,1.8275666882497066
25_50,1106,1102.4,2.15870331449229
25_50,1118,1113.6,2.694438717061496
25_50,1130,1125,3.3166247903554
25_50,1141,1135.2,3.6110940170535573
25_50,1153,1146.2,3.865229618017537
25_50,1165,1157.6,3.9698866482558417
25_50,1177,1168.2,3.8910152916687433
25_50,1189,1177.4,4.411349000022556
25_50,1201,1187.6,4.66476151587624
25_50,1213,1196.6,5.4644304369257
25_50,1225,1204,6.123724356957945
400_200,201,213.8,2.1307275752662513
400_200,399,399,0
400_200,598,598,0
400_200,797,797,0
400_200,996,996,0
400_200,1195,1195,0
400_200,1394,1394,0
400_200,1593,1593,0
400_200,1792,1792,0
400_200,1991,1991,0
400_200,2190,2190,0
400_200,2389,2389,0
400_200,2588,2588,0
400_200,2787,2787,0
400_200,2986,2986,0
400_200,3185,3185,0
400_200,3384,3577.4,193.4
400_200,3583,3741,158
400_200,3782,3972.4,124.60601911625294
400_200,3981,4675.2,516.7689425652436
400_200,4180,5246.4,543.0548406929083
400_200,4379,5567,441.81806210249033
400_200,4578,5623,407.66076583355425
400_200,4777,5684.2,370.72947009915464
400_200,4976,5758.4,335.00337311734637
400_200,5175,5850,297.5844417976182
400_200,5374,5947.4,261.5097703719691
400_200,5573,6053.2,224.5523101640239
400_200,5772,6171.4,189.83613986804514
400_200,5971,6299.4,159.40941001082714
400_200,6170,6437.8,133.17634925165953
400_200,6369,6593.2,111.8791312086396
400_200,6568,6748,91.56418513807677
400_200,6767,6909.6,73.65297006910176
400_200,6966,7072.2,56.20355860619504
400_200,7165,7247.2,43.70972431850834
400_200,7364,7432,36.596447915064104
400_200,7563,7613,27.60978087562449
400_200,7762,7796.8,20.227209397245087
400_200,7961,7987.4,15.622419786960023
400_200,8160,8180.2,11.90546093185812
400_200,8359,8372,7.987490219086342
400_200,8558,8567.8,6.248199740725323
400_200,8757,8764.6,4.822862220714998
400_200,8956,8961.2,3.5552777669262356
400_200,9155,9158.4,2.2271057451320084
400_200,9354,9356.4,1.5999999999999999
400_200,9553,9554.6,1.3638181696985856
400_200,9752,9752.6,0.6
400_200,9951,9951.6,0.39999999999999997
400_200,10149,10149.2,0.19999999999999998
400_200,10348,10348.2,0.19999999999999998
400_200,10547,10547.2,0.19999999999999998
400_200,10746,10746.2,0.19999999999999998
400_200,10945,10945.2,0.19999999999999998
400_200,11144,11144,0
400_200,11343,11343,0
400_200,11542,11542,0
400_200,11741,11741,0
400_200,11940,11940,0
400_200,12139,12139,0
400_200,12338,12338,0
400_200,12537,12537,0
400_200,12736,12736,0
400_200,12935,12935,0
400_200,13134,13134,0
400_200,13333,13333,0
400_200,13532,13532,0
400_200,13731,13731,0
400_200,13930,13930,0
400_200,14129,14129,0
400_200,14328,14328,0
400_200,14527,14527,0
400_200,14726,14726,0
400_200,14925,14925,0
400_200,15124,15124,0
400_200,15323,15323,0
400_200,15522,15522,0
400_200,15721,15721,0
400_200,15920,15920,0
400_200,16119,16119,0
400_200,16318,16318,0
400_200,16517,16517,0
400_200,16716,16716,0
400_200,16915,16915,0
400_200,17114,17113.8,0.19999999999999998
400_200,17313,17312.6,0.24494897427831777
400_200,17512,17511.4,0.39999999999999997
400_200,17711,17710,0.6324555320336759
400_200,17910,17908.8,0.58309518948453
400_200,18109,18107.6,0.5099019513592785
400_200,18308,18305.4,1.0770329614269007
400_200,18507,18502.4,1.4352700094407322
400_200,18706,18696.6,1.9646882704388502
400_200,18905,18889.8,3.6796738985948205
400_200,19104,19075.6,4.643274706497559
400_200,19303,19251.8,5.877074101966045
400_200,19502,19416.2,6.483826030978931
400_200,19701,19560.8,8.811356308764276
400_200,19900,19684,8.717797887081346
400_400,401,401,0
400_400,1203,1203,0
400_400,2005,2005,0
400_400,2807,2807,0
400_400,3609,3609,0
400_400,4411,4411,0
400_400,5213,5213,0
400_400,6015,6015,0
400_400,6817,6817,0
400_400,7619,7619,0
400_400,8421,8421,0
400_400,9223,9223,0
400_400,10025,10025,0
400_400,10827,10827,0
400_400,11629,11629,0
400_400,12431,12431,0
400_400,13233,13233,0
400_400,14035,14035,0
400_400,14837,14837,0
400_400,15639,15639,0
400_400,16441,16441,0
400_400,17243,17243,0
400_400,18045,18045,0
400_400,18847,18847,0
400_400,19649,19649,0
400_400,20451,20451,0
400_400,21253,21253,0
400_400,22055,22055,0
400_400,22857,22857,0
400_400,23659,23659,0
400_400,24461,24461,0
400_400,25263,25263,0
400_400,26065,26065,0
400_400,26867,26867,0
400_400,27669,27669,0
400_400,28471,28471,0
400_400,29273,29273,0
400_400,30075,30075,0
400_400,30877,30877,0
400_400,31679,31679,0
400_400,32481,32481,0
400_400,33283,33283,0
400_400,34085,34085,0
400_400,34887,34887,0
400_400,35689,35689,0
400_400,36491,36491,0
400_400,37293,37293,0
400_400,38095,38095,0
400_400,38897,38897,0
400_400,39699,39699,0
400_400,40501,40501,0
400_400,41303,41303,0
400_400,42105,42105,0
400_400,42907,42907,0
400_400,43709,43709,0
400_400,44511,44511,0
400_400,45313,45313,0
400_400,46115,46115,0
400_400,46917,46917,0
400_400,47719,47719,0
400_400,48521,48521,0
400_400,49323,49323,0
400_400,50125,50125,0
400_400,50927,50927,0
400_400,51729,51729,0
400_400,52531,52531,0
400_400,53333,53333,0
400_400,54135,54135,0
400_400,54937,54937,0
400_400,55739,55739,0
400_400,56541,56541,0
400_400,57343,57343,0
400_400,58145,58145,0
400_400,58947,58947,0
400_400,59749,59749,0
400_400,60551,60551,0
400_400,61353,61353,0
400_400,62155,62155,0
400_400,62957,62957,0
400_400,63759,63759,0
400_400,64561,64561,0
400_400,65363,65363,0
400_400,66165,66165,0
400_400,66967,66967,0
400_400,67769,67769,0
400_400,68571,68571,0
400_400,69373,69373,0
400_400,70175,70175,0
400_400,70977,70977,0
400_400,71779,71779,0
400_400,72581,72581,0
400_400,73383,73383,0
400_400,74185,74185,0
400_400,74987,74987,0
400_400,75789,75788.2,0.7999999999999999
400_400,76591,76586.4,2.0149441679609885
400_400,77393,77375.2,5.877074101966045
400_400,78195,78138.6,13.155227098001767
400_400,78997,78838.8,24.99479945908748
